company,website,domain,category,country
004 Technologies,http://004gmbh.de/en/004-interact,004gmbh.de,Software,USA
H2O.ai,http://h2o.ai/,h2o.ai,Analytics,USA
"1-800-PublicRelations, Inc.",http://www.1800publicrelations.com,1800publicrelations.com,Internet Marketing|Media|Public Relations,USA
1 Mainstream,http://www.1mainstream.com,1mainstream.com,Apps|Cable|Distribution|Software,USA
10-20 Media,http://www.10-20media.com,10-20media.com,E-Commerce,USA
1000 Corks,http://1000corks.com,1000corks.com,Search,USA
1000 Markets,http://www.1000markets.com,1000markets.com,Art|E-Commerce|Marketplaces,USA
ZenChef,http://zenchef.com/en/,zenchef.com,Local Businesses|Restaurants,FRA
100Plus,http://www.100plus.com,100plus.com,Analytics,USA
1010data,http://www.1010data.com,1010data.com,Software,USA
Cliptone,http://www.cliptone.me/,cliptone.me,Advertising|Image Recognition|Sales and Marketing|Social Media|Social Media Advertising,CAN
10sec,https://10s.ec/,10s.ec,E-Commerce|Mobile Commerce|Social Commerce,USA
10seconds Software,http://www.10secondsSoftware.com,10secondssoftware.com,Enterprise Software|Mobility|Software,AUS
10X10 Room,http://10x10room.com,10x10room.com,Software,USA
11i Solutions,http://www.11isolutions.com,11isolutions.com,Enterprise Software,USA
121nexus,http://www.121nexus.com,121nexus.com,Health Diagnostics|Medical Devices|Personalization|Pharmaceuticals|Politics|Software|Technology,USA
1234ENTER,http://www.1234enter.com.br,1234enter.com.br,Advertising|Analytics|Business Services|E-Commerce|Education|Internet Marketing|Small and Medium Businesses,
123Greetings,http://www.123greetings.com/,123greetings.com,Internet,
1248,http://1248.io/index.php/?page=index,1248.io,Software,GBR
12Return,http://www.12return.com,12return.com,Consumer Goods|Retail|SaaS|Software,NLD
12Society,http://www.12Society.com,12society.com,E-Commerce,USA
140 Proof,http://140proof.com,140proof.com,Advertising|Big Data Analytics|Interest Graph,USA
140Fire,http://140fire.com,140fire.com,Advertising|Entertainment|Real Time|Social Media|Sports|Video,USA
15Five,http://15five.com,15five.com,Software,USA
17 Media,http://17.media,17.media,,
170 Systems,http://www.170systems.com,170systems.com,Software,USA
17hats,https://www.17hats.com,17hats.com,Internet,USA
