query,company,domain,website,email,status,score
digital agency Rome,Digital Marketing Agency Rome | ZDM Agency,zdmagency.com,https://zdmagency.com,info@zdmagency.com,ready,19
marketing agency Milan,Zebrah - Homepage,zebrah.it,https://zebrah.it,info@zebrah.it,ready,17
marketing agency Milan,Milan Communication and Marketing Agency With 40 Years of Experience,agenziabrand.it,https://agenziabrand.it,info@agenziabrand.it,ready,17
marketing agency Milan,Award-Winning Creative Advertising Agency in Milan - ORBIS,orbispro.it,https://orbispro.it,info@orbispro.it,ready,17
digital agency Rome,Digital Experience Agency | Roma Milano Bolzano,ydeastudio.com,https://ydeastudio.com,business@ydeastudio.com,ready,17
digital agency Rome,Web Agency Roma | Eccolo Marketing | Digital Agency &amp; Social Media,eccolomarketing.it,https://eccolomarketing.it,info@eccolomarketing.it,ready,17
digital agency Rome,Digital Agency in Rome | Web &amp; App Development | OctaVertex Media,octavertexmedia.com,https://octavertexmedia.com,info@octavertexmedia.com,ready,16
marketing agency London,Top 31 Digital Marketing Agencies in London (Reviewed in June 2025),inbeat.agency,https://inbeat.agency,hello@inbeat.agency,ready,15
digital agency Rome,Best Digital Marketing Agencies in Rome 2025 | Semrush,semrush.com,https://semrush.com,mail@semrush.com,ready,14
digital agency Rome,Best Digital Marketing Agencies in Rome (2025 Edition),digitalmarketingsupermarket.com,https://digitalmarketingsupermarket.com,9df977c6@emailtest.io,ready,14
marketing agency London,Top 31 Мarketing Agencies in London as of 2025 - inBeat,inbeat.co,https://inbeat.co,inbeat-logo@3x.png,ready,13
